"No.","Time","Source","Destination","Protocol","Length","Info"
"225","0.391467","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"226","0.391517","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"227","0.391555","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"228","0.391592","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"229","0.391684","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"230","0.391719","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"231","0.391753","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"232","0.394952","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"233","0.397342","192.168.137.7","57.144.100.192","UDP","142","36465  >  443 Len=100"
"234","0.415221","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"235","0.415303","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"236","0.415330","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"237","0.415353","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"238","0.415376","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"239","0.415397","57.144.100.192","192.168.137.7","UDP","954","443  >  36465 Len=912"
"240","0.415516","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"241","0.415548","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"242","0.415782","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"243","0.422254","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"244","0.429390","192.168.137.7","192.168.137.1","DNS","92","Standard query 0xff27 A scontent-cgk1-1.cdninstagram.com"
"245","0.432304","192.168.137.7","157.240.208.63","QUIC","1294","Initial, DCID=9ea19dc2e4f10cc6, PKN: 2176834, CRYPTO, PADDING"
"246","0.435319","192.168.137.7","57.144.100.192","UDP","846","36465  >  443 Len=804"
"247","0.480068","157.240.208.63","192.168.137.7","QUIC","1274","Initial, SCID=bc00ab47262c939d, PKN: 1133672, CRYPTO, PADDING, PADDING, PING, PADDING, PING, PADDING"
"248","0.480266","157.240.208.63","192.168.137.7","QUIC","260","Handshake, SCID=bc00ab47262c939d"
"249","0.480353","157.240.208.63","192.168.137.7","QUIC","122","Protected Payload (KP0)"
"250","0.480427","57.144.100.192","192.168.137.7","UDP","122","443  >  36465 Len=80"
"251","0.480492","57.144.100.192","192.168.137.7","UDP","474","443  >  36465 Len=432"
"252","0.480558","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
